Sun Nov 27 18:49:48 2022    profiler_result

         274689913 function calls (269353762 primitive calls) in 145.197 seconds

   Ordered by: internal time
   List reduced from 15008 to 1588 due to restriction <'wger/wger((?!tests).)*$'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       56    0.000    0.000    0.024    0.000 /Users/adampetik/School/wger/wger/nutrition/forms.py:324(__init__)
        1    0.000    0.000    0.057    0.057 /Users/adampetik/School/wger/wger/exercises/migrations/0007_auto_20201203_1042.py:142(insert_variations)
      416    0.000    0.000    0.004    0.000 /Users/adampetik/School/wger/wger/core/templatetags/wger_extras.py:217(trans_weight_unit)
       23    0.000    0.000    0.067    0.003 /Users/adampetik/School/wger/wger/weight/helpers.py:90(group_log_entries)
      595    0.000    0.000    0.002    0.000 /Users/adampetik/School/wger/wger/manager/helpers.py:208(formatday)
      245    0.000    0.000    0.115    0.000 /Users/adampetik/School/wger/wger/utils/generic_views.py:230(form_valid)
       48    0.000    0.000    0.190    0.004 /Users/adampetik/School/wger/wger/utils/viewsets.py:43(update)
       12    0.000    0.000    0.217    0.018 /Users/adampetik/School/wger/wger/manager/management/commands/email-reminders.py:41(handle)
       89    0.000    0.000    0.035    0.000 /Users/adampetik/School/wger/wger/manager/models/day.py:58(days_txt)
       18    0.000    0.000    0.126    0.007 /Users/adampetik/School/wger/wger/manager/views/schedule.py:122(export_pdf_log)
      320    0.000    0.000    0.001    0.000 /Users/adampetik/School/wger/wger/manager/models/set.py:168(get_reps_reprentation)
       18    0.000    0.000    0.123    0.007 /Users/adampetik/School/wger/wger/manager/views/schedule.py:192(export_pdf_table)
       46    0.000    0.000    0.056    0.001 /Users/adampetik/School/wger/wger/exercises/models/exercise.py:179(variations)
       88    0.000    0.000    0.031    0.000 /Users/adampetik/School/wger/wger/manager/models/day.py:62(get_first_day_id)
      137    0.000    0.000    0.003    0.000 /Users/adampetik/School/wger/wger/utils/cache.py:34(reset_workout_canonical_form)
       91    0.000    0.000    0.042    0.000 /Users/adampetik/School/wger/wger/utils/permissions.py:43(has_object_permission)
       19    0.000    0.000    0.562    0.030 /Users/adampetik/School/wger/wger/manager/views/log.py:329(calendar)
      960    0.000    0.000    0.008    0.000 /Users/adampetik/School/wger/wger/nutrition/helpers.py:36(get_unit_type)
       17    0.000    0.000    0.639    0.038 /Users/adampetik/School/wger/wger/nutrition/views/plan.py:148(view)
     1687    0.000    0.000    0.014    0.000 /Users/adampetik/School/wger/wger/core/signals.py:36(create_user_profile)
       10    0.000    0.000    0.089    0.009 /Users/adampetik/School/wger/wger/manager/views/log.py:269(get_context_data)
       59    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/nutrition/models/ingredient.py:235(clean)
       64    0.000    0.000    0.001    0.000 /Users/adampetik/School/wger/wger/core/models/profile.py:185(is_trustworthy)
       77    0.000    0.000    0.026    0.000 /Users/adampetik/School/wger/wger/utils/helpers.py:44(authenticate)
       10    0.000    0.000    0.024    0.002 /Users/adampetik/School/wger/wger/core/views/user.py:529(get_context_data)
     1687    0.000    0.000    0.005    0.000 /Users/adampetik/School/wger/wger/core/signals.py:45(create_user_cache)
      327    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/utils/cache.py:87(get_workout_canonical)
       30    0.000    0.000    0.051    0.002 /Users/adampetik/School/wger/wger/nutrition/models/plan.py:229(get_log_summary)
      232    0.000    0.000    0.014    0.000 /Users/adampetik/School/wger/wger/nutrition/models/ingredient.py:221(get_absolute_url)
       11    0.000    0.000    0.054    0.005 /Users/adampetik/School/wger/wger/gym/views/export.py:38(users)
       61    0.000    0.000    0.061    0.001 /Users/adampetik/School/wger/wger/manager/models/set.py:128(computed_settings_exercise)
       49    0.000    0.000    0.002    0.000 /Users/adampetik/School/wger/wger/utils/cache.py:38(reset_workout_log)
      298    0.000    0.000    0.002    0.000 /Users/adampetik/School/wger/wger/utils/managers.py:43(get_queryset)
       60    0.000    0.000    0.245    0.004 /Users/adampetik/School/wger/wger/manager/models/set.py:107(compute_settings)
       23    0.000    0.000    0.055    0.002 /Users/adampetik/School/wger/wger/exercises/models/exercise.py:126(save)
       59    0.000    0.000    0.030    0.001 /Users/adampetik/School/wger/wger/exercises/models/base.py:138(main_image)
       28    0.000    0.000    2.452    0.088 /Users/adampetik/School/wger/wger/core/demo.py:63(create_temporary_user)
       86    0.000    0.000    0.007    0.000 /Users/adampetik/School/wger/wger/utils/generic_views.py:60(has_permission)
      320    0.000    0.000    0.001    0.000 /Users/adampetik/School/wger/wger/manager/models/set.py:181(get_weight_unit_reprentation)
        1    0.000    0.000    0.158    0.158 /Users/adampetik/School/wger/wger/core/management/commands/delete-temp-users.py:35(handle)
       44    0.000    0.000    0.117    0.003 /Users/adampetik/School/wger/wger/core/views/user.py:446(dispatch)
       17    0.000    0.000    0.014    0.001 /Users/adampetik/School/wger/wger/core/models/profile.py:515(user_bodyweight)
        6    0.000    0.000    0.073    0.012 /Users/adampetik/School/wger/wger/gym/views/gym.py:123(get_queryset)
       99    0.000    0.000    0.036    0.000 /Users/adampetik/School/wger/wger/utils/generic_views.py:158(get_context_data)
       71    0.000    0.000    0.128    0.002 /Users/adampetik/School/wger/wger/utils/generic_views.py:323(delete)
       57    0.000    0.000    0.017    0.000 /Users/adampetik/School/wger/wger/utils/helpers.py:135(check_token)
      867    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/gym/signals.py:32(gym_config)
       22    0.000    0.000    0.086    0.004 /Users/adampetik/School/wger/wger/core/views/user.py:510(dispatch)
       24    0.000    0.000    0.042    0.002 /Users/adampetik/School/wger/wger/nutrition/models/plan.py:207(get_log_overview)
      112    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/utils/helpers.py:202(normalize_decimal)
       17    0.000    0.000    0.024    0.001 /Users/adampetik/School/wger/wger/exercises/models/image.py:119(save)
